target	level	topic	ruby	spanish	note
芽	N3	vida_diaria	[柔|やわ]らかい[芽|め]を[虫|むし]に[食|た]べられてしまいました。	Los insectos se comieron los brotes tiernos.	芽 es un brote vegetal.
根	N3	vida_diaria	[根|ね]が[長|なが]すぎて、[鉢|はち]を[替|か]える[必要|ひつよう]があります。	Las raíces son demasiado largas y hay que cambiar la maceta.	根 es la raíz.
茎	N3	vida_diaria	[細|ほそ]い[茎|くき]を[棒|ぼう]で[支|ささ]えました。	Sujeté el tallo fino con un palo.	茎 es el tallo.
枝	N4	vida_diaria	[折|お]れた[枝|えだ]が[電線|でんせん]に[引|ひ]っかかっています。	Una rama rota está enganchada en el cable eléctrico.	枝 es una rama.
幹	N3	ocio	[太|ふと]い[幹|みき]の[陰|かげ]で、[日差|ひざ]しを[避|さ]けました。	Me resguardé del sol a la sombra del grueso tronco.	幹 es el tronco de un árbol.
樹皮	N2	educacion	[樹皮|じゅひ]を[触|さわ]ると、ざらざらしていました。	Al tocar la corteza, noté que era áspera.	樹皮 es la corteza de un árbol.
花びら	N4	vida_diaria	[散|ち]った[花|はな]びらが、[池|いけ]に[浮|う]いています。	Los pétalos caídos flotan en el estanque.	花びら es un pétalo.
つぼみ	N3	vida_diaria	つぼみが[開|ひら]くのを、[毎朝|まいあさ][楽|たの]しみにしています。	Cada mañana espero con ilusión que se abran los capullos.	つぼみ es una flor antes de abrirse.
種	N4	vida_diaria	[去年|きょねん][取|と]った[種|たね]を、[春|はる]にまきます。	Sembraré en primavera las semillas que recogí el año pasado.	種 se lee たね y significa semilla.
球根	N3	vida_diaria	チューリップの[球根|きゅうこん]を[土|つち]に[埋|う]めました。	Enterré los bulbos de tulipán en la tierra.	球根 es un bulbo vegetal.
苗	N3	vida_diaria	[弱|よわ]った[苗|なえ]を[日陰|ひかげ]に[移|うつ]しました。	Trasladé a la sombra los plantones debilitados.	苗 es una planta joven para trasplantar.
肥料	N3	vida_diaria	[肥料|ひりょう]をやりすぎて、[葉|は]が[黄色|きいろ]くなりました。	Eché demasiado abono y las hojas amarillearon.	肥料 es fertilizante.
雑草	N3	vida_diaria	[雨|あめ]の[翌日|よくじつ]は[雑草|ざっそう]を[抜|ぬ]きやすいです。	Es más fácil arrancar las malas hierbas al día siguiente de llover.	雑草 son plantas que crecen donde no se desean.
落ち葉	N4	vida_diaria	[落|お]ち[葉|ば]で[排水口|はいすいこう]が[詰|つ]まっていました。	El desagüe estaba atascado con hojas caídas.	落ち葉 son hojas desprendidas de los árboles.
枯れる	N3	vida_diaria	[枯|か]れる[前|まえ]に[花|はな]を[摘|つ]んで、[押|お]し[花|ばな]にしました。	Recogí las flores antes de que se marchitaran y las prensé.	枯れる es secarse o marchitarse una planta.
実る	N3	vida_diaria	[今年|ことし]は[庭|にわ]の[木|き]に[柿|かき]が[実|みの]りました。	Este año el árbol del jardín ha dado caquis.	実る es dar fruto.
耕す	N3	vida_diaria	[冬|ふゆ]の[間|あいだ]に[固|かた]くなった[畑|はたけ]を[耕|たがや]しました。	Labré el campo que se había endurecido durante el invierno.	耕す es labrar la tierra.
収穫	N3	vida_diaria	[初|はじ]めての[収穫|しゅうかく]は、[小|ちい]さなトマト[一|ひと]つでした。	Mi primera cosecha fue un único tomate pequeño.	収穫 es recoger productos cultivados.
剪定	N2	vida_diaria	[庭師|にわし]に[梅|うめ]の[木|き]の[剪定|せんてい]を[頼|たの]みました。	Encargué a un jardinero la poda del ciruelo japonés.	剪定 es podar ramas de forma selectiva.
日当たり	N3	vida_diaria	[日当|ひあ]たりが[悪|わる]くても[育|そだ]つ[植物|しょくぶつ]を[選|えら]びました。	Elegí plantas que crecen incluso con poca luz solar.	日当たり es la exposición al sol.
水やり	N4	vida_diaria	[水|みず]やりの[回数|かいすう]を[減|へ]らしたら、[根|ね]の[状態|じょうたい]がよくなりました。	Al regar con menos frecuencia, mejoró el estado de las raíces.	水やり es regar las plantas.
温室	N3	ocio	[温室|おんしつ]に[入|はい]ると、[眼鏡|めがね]が[曇|くも]りました。	Se me empañaron las gafas al entrar en el invernadero.	温室 es un invernadero.
果樹園	N3	ocio	[果樹園|かじゅえん]で、[枝|えだ]から[直接|ちょくせつ]りんごを[取|と]りました。	Recogí manzanas directamente de las ramas en el huerto frutal.	果樹園 es un terreno de árboles frutales.
田んぼ	N4	ocio	[田|た]んぼに[張|は]った[水|みず]が、[空|そら]を[映|うつ]しています。	El agua de los arrozales refleja el cielo.	田んぼ es un arrozal.
