target	level	topic	ruby	spanish	note
数値	N3	tecnologia	[測定|そくてい]するたびに[数値|すうち]が[変|か]わります。	El valor numérico cambia cada vez que hacemos una medición.	数値 es un valor expresado en números.
保守	N2	trabajo	[機械|きかい]の[保守|ほしゅ]は[専門|せんもん]の[会社|かいしゃ]に[任|まか]せています。	Encargamos el mantenimiento de las máquinas a una empresa especializada.	保守 significa aquí mantenimiento.
欠く	N2	trabajo	[急|いそ]いだため、[説明|せつめい]が[正確|せいかく]さを[欠|か]いていました。	Por las prisas, la explicación carecía de precisión.	欠く expresa carecer de una cualidad necesaria.
覚悟	N3	vida_diaria	[長|なが]く[待|ま]つ[覚悟|かくご]で、[本|ほん]を[持|も]ってきました。	He traído un libro, preparado para una espera larga.	覚悟 implica estar preparado para una dificultad.
生き方	N3	cultura	[旅|たび]を[通|とお]して、[様々|さまざま]な[生|い]き[方|かた]を[知|し]りました。	A través de los viajes conocí distintas formas de vivir.	生き方 es la manera de vivir la vida.
務める	N3	trabajo	[今回|こんかい]は[私|わたし]が[司会|しかい]を[務|つと]めます。	Esta vez me encargaré de presentar el acto.	務める es desempeñar un cargo o función.
財源	N2	servicios	[橋|はし]の[修理|しゅうり]には、[新|あら]たな[財源|ざいげん]が[必要|ひつよう]です。	Para reparar el puente hace falta una nueva fuente de financiación.	財源 es de dónde proceden los fondos.
オーナー	N3	trabajo	カフェのオーナーが[自分|じぶん]でケーキを[焼|や]いています。	El dueño del café hornea él mismo los pasteles.	オーナー es el propietario de un negocio.
支出	N3	vida_diaria	[家計簿|かけいぼ]をつけると、[無駄|むだ]な[支出|ししゅつ]に[気|き]づきます。	Al llevar las cuentas de casa, uno detecta gastos innecesarios.	支出 significa gasto de dinero.
まさか	N3	vida_diaria	まさか[同|おな]じホテルに[泊|と]まっているとは[思|おも]いませんでした。	Nunca habría imaginado que nos alojábamos en el mismo hotel.	まさか expresa sorpresa ante algo inesperado.
鬼	N4	cultura	[絵本|えほん]の[鬼|おに]は、[実|じつ]は[泣|な]き[虫|むし]でした。	El ogro del cuento ilustrado era, en realidad, un llorón.	鬼 es un ogro o demonio del folclore japonés.
対話	N3	vida_diaria	[手紙|てがみ]のやり[取|と]りが、[親子|おやこ]の[対話|たいわ]のきっかけになりました。	El intercambio de cartas abrió el diálogo entre padres e hijos.	対話 implica intercambio de ideas entre personas.
返信	N4	tecnologia	[返信|へんしん]は[急|いそ]ぎませんので、[週末|しゅうまつ]で[大丈夫|だいじょうぶ]です。	No corre prisa que respondas; el fin de semana está bien.	返信 es contestar a un mensaje recibido.
会談	N2	trabajo	[両国|りょうこく]の[代表|だいひょう]による[会談|かいだん]は、[非公開|ひこうかい]でした。	La reunión entre los representantes de ambos países fue a puerta cerrada.	会談 es una reunión para dialogar sobre asuntos importantes.
監査	N2	trabajo	[監査|かんさ]に[備|そな]えて、[領収書|りょうしゅうしょ]を[整理|せいり]しています。	Estamos ordenando los recibos para preparar la auditoría.	監査 es la revisión formal de cuentas o procedimientos.
溢れる	N3	vida_diaria	[浴槽|よくそう]からお[湯|ゆ]が[溢|あふ]れそうです。	El agua caliente está a punto de desbordarse de la bañera.	溢れる es rebasar los límites de un recipiente.
選択肢	N3	educacion	この[問題|もんだい]には[正|ただ]しい[選択肢|せんたくし]が[二|ふた]つあります。	Esta pregunta tiene dos opciones correctas.	選択肢 es una de las alternativas entre las que elegir.
囲む	N3	vida_diaria	[家族|かぞく]で[鍋|なべ]を[囲|かこ]んで、[近況|きんきょう]を[話|はな]しました。	Nos reunimos en familia alrededor del guiso y nos pusimos al día.	鍋を囲む describe compartir una comida de olla.
極端	N3	vida_diaria	[極端|きょくたん]に[暑|あつ]い[日|ひ]は、[外|そと]の[作業|さぎょう]を[減|へ]らします。	En los días de calor extremo reducimos el trabajo al aire libre.	極端に significa de manera extrema.
商業	N3	cultura	[駅|えき]の[周辺|しゅうへん]は[商業|しょうぎょう][地区|ちく]として[発展|はってん]しました。	Los alrededores de la estación se desarrollaron como zona comercial.	商業 es la actividad de comercio.
たっぷり	N4	comida	スープには[豆|まめ]がたっぷり[入|はい]っています。	La sopa lleva una buena cantidad de alubias.	たっぷり indica una cantidad abundante.
社内	N3	trabajo	[募集|ぼしゅう]の[案内|あんない]は、まず[社内|しゃない]に[出|だ]しました。	Publicamos primero la convocatoria dentro de la empresa.	社内 significa dentro de la empresa.
辞典	N4	educacion	この[辞典|じてん]には、[言葉|ことば]の[由来|ゆらい]も[載|の]っています。	Este diccionario también recoge el origen de las palabras.	辞典 es un diccionario; 由来 es el origen.
担う	N2	trabajo	[若|わか]い[職人|しょくにん]たちが、[伝統|でんとう]を[守|まも]る[役割|やくわり]を[担|にな]っています。	Los jóvenes artesanos asumen la tarea de preservar la tradición.	担う es asumir una responsabilidad importante.
ペット	N4	vida_diaria	[災害|さいがい]に[備|そな]え、ペットの[餌|えさ]も[保管|ほかん]しています。	También guardamos comida para las mascotas por si ocurre un desastre.	ペット es un animal de compañía.
