target	level	topic	ruby	spanish	note
朝食	N4	vida_diaria	[朝食|ちょうしょく]を[抜|ぬ]くと、[午前中|ごぜんちゅう]におなかがすきます。	Si me salto el desayuno, me entra hambre durante la mañana.	朝食を抜く es saltarse el desayuno.
自慢	N3	vida_diaria	[祖父|そふ]は、[自分|じぶん]で[育|そだ]てた[大|おお]きなかぼちゃを[自慢|じまん]しています。	Mi abuelo presume de la enorme calabaza que ha cultivado.	自慢する es hablar con orgullo de algo propio.
臨時	N3	servicios	[店|みせ]の[入口|いりぐち]に、[臨時|りんじ][休業|きゅうぎょう]の[紙|かみ]が[貼|は]ってありました。	En la entrada de la tienda había un aviso de cierre extraordinario.	臨時 indica que no forma parte del horario habitual.
動機	N3	trabajo	[面接|めんせつ]で、この[仕事|しごと]を[選|えら]んだ[動機|どうき]を[聞|き]かれました。	En la entrevista me preguntaron qué me había motivado a elegir este trabajo.	動機 es la razón que lleva a actuar.
花火	N4	ocio	[橋|はし]の[上|うえ]から[花火|はなび]がよく[見|み]えました。	Desde el puente se veían muy bien los fuegos artificiales.	花火 son fuegos artificiales.
中継	N3	ocio	[会場|かいじょう]には[行|い]けませんが、[試合|しあい]の[中継|ちゅうけい]を[家|いえ]で[見|み]ます。	No puedo ir al estadio, pero veré la retransmisión del partido en casa.	中継 es la retransmisión de un evento.
録画	N4	ocio	[昨夜|さくや][録画|ろくが]した[番組|ばんぐみ]を、[週末|しゅうまつ]にゆっくり[見|み]るつもりです。	Pienso ver tranquilamente el fin de semana el programa que grabé anoche.	録画 significa grabar imágenes en vídeo.
情熱	N3	trabajo	[先輩|せんぱい]の[仕事|しごと]への[情熱|じょうねつ]に[刺激|しげき]を[受|う]けました。	La pasión de mi compañero veterano por su trabajo me sirvió de estímulo.	への情熱 especifica a qué se dedica la pasión.
手間	N3	comida	[手間|てま]はかかりますが、[豆|まめ]から[煮|に]るとおいしくなります。	Lleva trabajo, pero queda más rico si cueces las legumbres desde el principio.	手間がかかる expresa que requiere tiempo y esfuerzo.
言い訳	N3	trabajo	[遅刻|ちこく]の[言|い]い[訳|わけ]をするより、まず[謝|あやま]ったほうがいいです。	Más vale disculparse primero que poner excusas por llegar tarde.	言い訳 es una excusa o justificación defensiva.
転送	N3	tecnologia	[担当|たんとう]が[変|か]わったので、そのメールを[新|あたら]しい[担当者|たんとうしゃ]に[転送|てんそう]しました。	Como cambió la persona encargada, reenvié ese correo al nuevo responsable.	転送 es reenviar un mensaje a otro destino.
予感	N3	vida_diaria	[面接|めんせつ]の[雰囲気|ふんいき]がよかったので、[合格|ごうかく]しそうな[予感|よかん]がしました。	El ambiente de la entrevista fue bueno y tuve la impresión de que me aceptarían.	予感 es una impresión sobre algo que todavía no ocurre.
前進	N3	trabajo	[小|ちい]さな[問題|もんだい]が[解決|かいけつ]して、[計画|けいかく]が[少|すこ]し[前進|ぜんしん]しました。	Se resolvió un pequeño problema y el proyecto avanzó un poco.	前進する también puede describir avances abstractos.
地点	N3	transporte	[二|ふた]つの[道|みち]が[交|まじ]わる[地点|ちてん]で、[右|みぎ]に[曲|ま]がります。	Gira a la derecha en el punto donde se cruzan los dos caminos.	地点 señala una ubicación concreta.
分解	N3	vida_diaria	[掃除|そうじ]のために[扇風機|せんぷうき]を[分解|ぶんかい]したら、[小|ちい]さなねじが[出|で]てきました。	Al desmontar el ventilador para limpiarlo, apareció un tornillo pequeño.	分解する significa desmontar en piezas.
岩	N4	ocio	[大|おお]きな[岩|いわ]の[上|うえ]に[座|すわ]って、[海|うみ]を[眺|なが]めました。	Me senté sobre una roca grande y contemplé el mar.	岩 suele designar una roca mayor que una piedra suelta.
全力	N3	ocio	[最後|さいご]まで[全力|ぜんりょく]で[走|はし]りましたが、[一位|いちい]にはなれませんでした。	Corrí con todas mis fuerzas hasta el final, pero no quedé primero.	全力で significa con todo el esfuerzo disponible.
独身	N3	vida_diaria	[兄|あに]は[独身|どくしん]で、[犬|いぬ]と[一緒|いっしょ]に[暮|く]らしています。	Mi hermano mayor está soltero y vive con un perro.	独身 describe el estado civil, no que alguien viva necesariamente solo.
不快	N3	vida_diaria	[電車|でんしゃ]で[大声|おおごえ]の[電話|でんわ]が[続|つづ]き、[不快|ふかい]に[感|かん]じました。	Me molestó que alguien siguiera hablando por teléfono a voces en el tren.	不快に感じる expresa incomodidad o desagrado.
高価	N3	compras	[高価|こうか]なカメラなので、[使|つか]わないときはケースにしまいます。	Como es una cámara cara, la guardo en su funda cuando no la uso.	高価 significa de precio elevado.
響き	N3	cultura	この[部屋|へや]は[声|こえ]の[響|ひび]きがよく、[歌|うた]の[練習|れんしゅう]に[向|む]いています。	Esta habitación tiene buena resonancia para la voz y resulta adecuada para practicar canto.	響き es la resonancia del sonido.
直感	N3	vida_diaria	[地図|ちず]を[見|み]ずに[直感|ちょっかん]で[進|すす]んだら、[道|みち]に[迷|まよ]いました。	Seguí mi intuición sin mirar el mapa y me perdí.	直感 indica una impresión inmediata sin razonamiento explícito.
合流	N3	ocio	[駅|えき]で[友人|ゆうじん]と[合流|ごうりゅう]してから、[一緒|いっしょ]に[会場|かいじょう]へ[向|む]かいます。	Me reuniré con un amigo en la estación y desde allí iremos juntos al recinto.	合流する es juntarse tras llegar por separado.
身長	N4	vida_diaria	[息子|むすこ]の[身長|しんちょう]が[伸|の]びて、[去年|きょねん]のズボンが[短|みじか]くなりました。	Mi hijo ha crecido y los pantalones del año pasado le quedan cortos.	身長 es la estatura de una persona.
助手	N3	trabajo	[実験|じっけん]の[準備|じゅんび]は、[助手|じょしゅ]と[二人|ふたり]で[進|すす]めています。	Estoy preparando el experimento junto con el asistente.	助手 es una persona que ayuda en un trabajo especializado.
住人	N3	vida_diaria	[上|うえ]の[階|かい]の[住人|じゅうにん]が、[引|ひ]っ[越|こ]しのあいさつに[来|き]ました。	La persona que vive en el piso de arriba vino a presentarse tras mudarse.	住人 es quien habita un lugar concreto.
友情	N3	vida_diaria	[住|す]む[国|くに]が[変|か]わっても、[二人|ふたり]の[友情|ゆうじょう]は[続|つづ]いています。	Aunque ahora viven en países distintos, su amistad continúa.	友情 es el afecto propio de una relación de amistad.
未知	N3	educacion	[未知|みち]の[分野|ぶんや]でしたが、[入門|にゅうもん][書|しょ]から[読|よ]み[始|はじ]めました。	Era un campo desconocido para mí, pero empecé leyendo un manual introductorio.	未知 significa que todavía no se conoce.
決心	N3	vida_diaria	[長|なが]く[迷|まよ]っていましたが、[実家|じっか]の[近|ちか]くへ[戻|もど]る[決心|けっしん]をしました。	Lo estuve dudando mucho, pero decidí volver a vivir cerca de mi familia.	決心する expresa tomar una decisión firme.
祝福	N3	vida_diaria	[友人|ゆうじん]の[結婚|けっこん]を[祝福|しゅくふく]して、[手紙|てがみ]と[花|はな]を[贈|おく]りました。	Para felicitar a mi amigo por su boda, le envié una carta y flores.	祝福する es expresar alegría y buenos deseos por algo feliz.
出番	N3	cultura	[舞台|ぶたい]の[袖|そで]で、[次|つぎ]の[出番|でばん]を[待|ま]っていました。	Esperaba entre bastidores mi siguiente entrada a escena.	出番 es el momento en que le toca intervenir a alguien.
