target	level	topic	ruby	spanish	note
まな板	N4	comida	[魚|さかな]を[切|き]ったまな[板|いた]を、すぐ[洗|あら]いました。	Lavé enseguida la tabla donde había cortado el pescado.	まな板 es una tabla de cortar.
包丁	N4	comida	[包丁|ほうちょう]の[刃|は]を[外側|そとがわ]に[向|む]けないでください。	No dejes el cuchillo con el filo hacia fuera.	包丁 es un cuchillo de cocina.
お玉	N4	comida	お[玉|たま]が[見|み]つからず、カップでスープをすくいました。	No encontraba el cucharón y serví la sopa con una taza.	お玉 es un cucharón.
ざる	N4	comida	ゆでた[麺|めん]をざるに[上|あ]げました。	Pasé los fideos cocidos al colador.	ざる es un colador de rejilla o cesta.
ふるい	N3	comida	[粉|こな]をふるいにかけて、だまを[取|と]りました。	Tamicé la harina para quitar los grumos.	ふるい es un tamiz.
泡立て器	N3	comida	[泡立|あわだ]て[器|き]を[使|つか]うと、[卵|たまご]がよく[混|ま]ざります。	Con las varillas se baten bien los huevos.	泡立て器 es un batidor de varillas.
へら	N3	comida	へらでボウルの[内側|うちがわ]のクリームを[集|あつ]めました。	Recogí con una espátula la crema de las paredes del cuenco.	へら es una espátula.
菜箸	N3	comida	[長|なが]い[菜箸|さいばし]で、[揚|あ]げ[物|もの]を[裏返|うらがえ]しました。	Di la vuelta a la fritura con unos palillos largos de cocina.	菜箸 son palillos largos para cocinar.
計量	N3	comida	[計量|けいりょう]を[済|す]ませてから、オーブンを[温|あたた]めました。	Después de medir los ingredientes, calenté el horno.	計量 es medir cantidades.
目盛り	N3	comida	[横|よこ]から[見|み]ると、[目盛|めも]りを[正|ただ]しく[読|よ]めます。	Mirando de lado puedes leer bien la escala graduada.	目盛り son las marcas de una escala.
蓋	N4	comida	[蒸気|じょうき]を[逃|に]がすため、[蓋|ふた]を[少|すこ]しずらしました。	Dejé la tapa un poco desplazada para que saliera el vapor.	蓋 es una tapa.
取っ手	N3	vida_diaria	[取|と]っ[手|て]が[熱|あつ]くなっていて、[布|ぬの]で[持|も]ちました。	El asa se había calentado y la sujeté con un paño.	取っ手 es un asa o tirador.
底	N4	comida	[鍋|なべ]の[底|そこ]に、ご[飯|はん]が[少|すこ]し[残|のこ]っていました。	Quedaba un poco de arroz en el fondo de la olla.	底 es la parte inferior de un recipiente.
縁	N3	vida_diaria	カップの[縁|ふち]が[欠|か]けていました。	El borde de la taza estaba desportillado.	縁 se lee ふち cuando significa borde.
柄	N3	vida_diaria	ブラシの[柄|え]が[長|なが]いので、[奥|おく]まで[届|とど]きます。	El mango del cepillo es largo y permite llegar hasta el fondo.	柄 se lee え cuando significa mango.
刃	N3	vida_diaria	はさみの[刃|は]に、テープののりがついています。	Las hojas de las tijeras tienen pegamento de cinta adhesiva.	刃 es el filo o la hoja de una herramienta.
切れ味	N3	comida	[研|と]いだら、[包丁|ほうちょう]の[切|き]れ[味|あじ]が[戻|もど]りました。	Al afilarlo, el cuchillo volvió a cortar bien.	切れ味 es la capacidad de cortar de un filo.
研ぐ	N3	vida_diaria	[祖父|そふ]に、[刃物|はもの]を[研|と]ぐ[角度|かくど]を[教|おそ]わりました。	Mi abuelo me enseñó el ángulo adecuado para afilar herramientas de corte.	研ぐ es afilar; también se usa para lavar arroz.
下ごしらえ	N3	comida	[朝|あさ]のうちに[下|した]ごしらえをしておきました。	Dejé preparados los ingredientes por la mañana.	下ごしらえ es la preparación previa a cocinar.
皮むき	N3	comida	[皮|かわ]むきを[子供|こども]に[手伝|てつだ]ってもらいました。	Los niños me ayudaron a pelar los ingredientes.	皮むき es retirar la piel o cáscara.
輪切り	N3	comida	レモンを[薄|うす]い[輪切|わぎ]りにしました。	Corté el limón en rodajas finas.	輪切り es cortar en rodajas.
千切り	N3	comida	キャベツの[千切|せんぎ]りを、[皿|さら]に[添|そ]えました。	Añadí al plato col cortada en tiras finas.	千切り es cortar en juliana.
みじん切り	N3	comida	みじん[切|ぎ]りのにんにくを[冷凍|れいとう]して、[少|すこ]しずつ[使|つか]っています。	Congelo el ajo picado muy fino y lo voy usando en pequeñas cantidades.	みじん切り es un picado muy fino.
角切り	N3	comida	[角切|かくぎ]りの[野菜|やさい]は、[大|おお]きさを[揃|そろ]えました。	Corté las verduras en dados de tamaño uniforme.	角切り es cortar en dados.
薄切り	N4	comida	[薄切|うすぎ]りの[肉|にく]を[広|ひろ]げて、[野菜|やさい]を[巻|ま]きました。	Extendí las lonchas finas de carne y enrollé verduras dentro.	薄切り es cortar en lonchas finas.
煮込む	N3	comida	[硬|かた]い[肉|にく]を、[弱火|よわび]でじっくり[煮込|にこ]みました。	Guisé la carne dura lentamente a fuego bajo.	煮込む es cocer durante bastante tiempo.
