target	level	topic	ruby	spanish	note
仮説	N2	educacion	[実験|じっけん]の[結果|けっか]は、[最初|さいしょ]の[仮説|かせつ]と[矛盾|むじゅん]しました。	El resultado del experimento contradijo la hipótesis inicial.	仮説 es una explicación provisional que se comprueba.
検証	N2	educacion	[同|おな]じ[方法|ほうほう]で[検証|けんしょう]しても、[結果|けっか]が[一致|いっち]しません。	Aunque repetimos la comprobación con el mismo método, los resultados no coinciden.	検証 es comprobar la validez de una afirmación.
証拠	N3	vida_diaria	[約束|やくそく]した[証拠|しょうこ]として、メールを[残|のこ]しました。	Guardé el correo como prueba de lo acordado.	証拠 es una prueba que respalda un hecho.
推測	N3	educacion	[足跡|あしあと]の[大|おお]きさから、[動物|どうぶつ]の[体格|たいかく]を[推測|すいそく]しました。	Estimé el tamaño del animal por el tamaño de sus huellas.	推測 es inferir algo a partir de indicios.
推移	N2	educacion	[気温|きおん]の[推移|すいい]をグラフにしました。	Representé en un gráfico la evolución de la temperatura.	推移 es la evolución a lo largo del tiempo.
傾向	N3	educacion	[回答|かいとう]には、[年代|ねんだい]ごとの[傾向|けいこう]が[見|み]られます。	Las respuestas muestran tendencias según la edad.	傾向 es una tendencia observada.
偏り	N2	educacion	[調査|ちょうさ]した[地域|ちいき]に[偏|かたよ]りがありました。	Las zonas estudiadas no estaban representadas de forma equilibrada.	偏り es un desequilibrio o sesgo.
誤差	N2	educacion	[測|はか]る[人|ひと]によって、[少|すこ]し[誤差|ごさ]が[出|で]ます。	Hay pequeñas diferencias de medición según quién mida.	誤差 es la diferencia respecto al valor real o esperado.
精度	N2	tecnologia	[設定|せってい]を[変|か]えると、[認識|にんしき]の[精度|せいど]が[上|あ]がりました。	Al cambiar la configuración mejoró la precisión del reconocimiento.	精度 es precisión.
標本	N3	educacion	[葉|は]を[乾|かわ]かして、[標本|ひょうほん]を[作|つく]りました。	Sequé unas hojas para preparar muestras de estudio.	標本 es un ejemplar preparado para observarlo.
観測	N3	educacion	[雲|くも]が[厚|あつ]く、[星|ほし]の[観測|かんそく]を[諦|あきら]めました。	Las nubes eran tan densas que renunciamos a observar las estrellas.	観測 es observar y medir fenómenos.
観察	N3	educacion	[同|おな]じ[花|はな]を[毎日|まいにち][観察|かんさつ]し、[絵|え]に[描|か]きました。	Observé la misma flor cada día y la dibujé.	観察 es mirar atentamente para conocer detalles.
分析	N3	educacion	[土|つち]の[成分|せいぶん]を[分析|ぶんせき]するため、[試料|しりょう]を[送|おく]りました。	Envié una muestra para analizar la composición de la tierra.	分析 es separar y estudiar elementos.
