target	level	topic	ruby	spanish	note
形	N5	vida_diaria	このクッキーは[星|ほし]の[形|かたち]をしています。	Esta galleta tiene forma de estrella.	形をしている describe la forma de un objeto.
約	N4	transporte	[港|みなと]から[島|しま]までは、[船|ふね]で[約|やく][四十分|よんじゅっぷん]です。	Del puerto a la isla se tarda unos cuarenta minutos en barco.	約 indica que la duración es aproximada.
夫	N5	vida_diaria	[夫|おっと]は[朝|あさ]ご[飯|はん]を[作|つく]り、[私|わたし]は[弁当|べんとう]を[作|つく]ります。	Mi marido prepara el desayuno y yo preparo el almuerzo para llevar.	夫 se emplea aquí para hablar del propio marido.
馬	N5	ocio	[牧場|ぼくじょう]に、[大|おお]きな[馬|うま]と[小|ちい]さな[馬|うま]がいます。	En la granja hay un caballo grande y uno pequeño.	います se utiliza para seres vivos como los caballos.
横	N5	vida_diaria	[自転車|じてんしゃ]は[家|いえ]の[横|よこ]に[置|お]いてください。	Deja la bicicleta al lado de la casa, por favor.	横 indica la posición lateral junto a algo.
東	N5	vida_diaria	[寝室|しんしつ]の[窓|まど]は[東|ひがし]を[向|む]いています。	La ventana del dormitorio da al este.	東を向いている describe la orientación hacia el este.
南	N5	transporte	この[村|むら]の[南|みなみ]に、[大|おお]きな[湖|みずうみ]があります。	Al sur de este pueblo hay un lago grande.	の南に sitúa el lago respecto del pueblo.
石	N5	ocio	[川|かわ]で[拾|ひろ]った[石|いし]を、[庭|にわ]に[並|なら]べました。	Coloqué en el jardín las piedras que recogí en el río.	拾った modifica 石 e identifica de dónde proceden las piedras.
白	N5	compras	このシャツは、[青|あお]より[白|しろ]のほうが[好|す]きです。	Esta camisa me gusta más en blanco que en azul.	白 y 青 funcionan aquí como nombres de colores.
西	N5	transporte	[駅|えき]の[西|にし]に[新|あたら]しい[公園|こうえん]ができました。	Han construido un parque nuevo al oeste de la estación.	できました significa aquí que se ha creado o construido algo.
