target	level	topic	ruby	spanish	note
受付	N4	servicios	[受付|うけつけ]で[番号札|ばんごうふだ]を[受|う]け[取|と]りました。	Recogí un número de turno en recepción.	受付 es el punto de recepción.
窓口	N3	servicios	[相談|そうだん]の[内容|ないよう]によって、[窓口|まどぐち]が[異|こと]なります。	La ventanilla es distinta según el asunto de la consulta.	窓口 es un punto de atención al público.
整理券	N3	servicios	[整理券|せいりけん]の[配布|はいふ]は、[開店|かいてん][前|まえ]に[終|お]わりました。	Los números de turno se agotaron antes de abrir la tienda.	整理券 organiza el orden de atención o entrada.
順番	N4	servicios	[席|せき]を[離|はな]れた[間|あいだ]に、[順番|じゅんばん]が[来|き]てしまいました。	Me tocó el turno mientras estaba fuera de mi asiento.	順番 es el turno dentro de una secuencia.
呼び出し	N3	servicios	[呼|よ]び[出|だ]しの[放送|ほうそう]が[聞|き]こえませんでした。	No oí el aviso por megafonía.	呼び出し es un aviso para que alguien se presente.
本人	N3	servicios	この[手続|てつづ]きは[本人|ほんにん]が[行|おこな]ってください。	Este trámite debe hacerlo la propia persona interesada.	本人 señala a la persona directamente implicada.
身分証	N3	servicios	[写真|しゃしん]のついた[身分証|みぶんしょう]を[一|ひと]つ[見|み]せました。	Mostré un documento de identidad con fotografía.	身分証 acredita la identidad.
有効	N3	servicios	この[券|けん]は[発行|はっこう]から[三日間|みっかかん][有効|ゆうこう]です。	Este billete es válido durante tres días desde su emisión.	有効 expresa validez.
期限	N3	servicios	[期限|きげん]を[過|す]ぎた[申請|しんせい]は[受|う]け[付|つ]けられません。	No se admiten solicitudes fuera de plazo.	期限 es la fecha límite.
更新	N3	servicios	[免許|めんきょ]の[更新|こうしん]に[必要|ひつよう]な[写真|しゃしん]を[撮|と]りました。	Me hice las fotos necesarias para renovar el permiso.	更新 es renovar algo cuya vigencia termina.
紛失	N3	servicios	カードの[紛失|ふんしつ]を[届|とど]けると、すぐに[利用|りよう]が[止|と]まりました。	Al comunicar la pérdida de la tarjeta, se bloqueó su uso de inmediato.	紛失 es la pérdida de un objeto.
再発行	N3	servicios	[再発行|さいはっこう]には[手数料|てすうりょう]がかかると[言|い]われました。	Me dijeron que emitir un duplicado tenía una tasa.	再発行 es emitir de nuevo un documento o tarjeta.
