target	level	topic	ruby	spanish	note
周波数	N2	tecnologia	ラジオの[周波数|しゅうはすう]を[少|すこ]し[変|か]えたら、[雑音|ざつおん]が[減|へ]りました。	Al ajustar un poco la frecuencia de la radio, disminuyó el ruido de fondo.	周波数 es la frecuencia de una señal.
ミュージシャン	N3	cultura	そのミュージシャンは、[自分|じぶん]で[作|つく]った[楽器|がっき]も[演奏|えんそう]します。	Ese músico también toca instrumentos que él mismo ha construido.	ミュージシャン designa a un músico.
就業	N2	trabajo	[就業|しゅうぎょう][時間|じかん][中|ちゅう]は、[私用|しよう]の[電話|でんわ]を[控|ひか]えることになっています。	Durante la jornada laboral se debe limitar el uso del teléfono para asuntos personales.	就業時間 es el horario de trabajo; 控える no implica necesariamente una prohibición absoluta.
朝刊	N3	vida_diaria	[朝刊|ちょうかん]に[載|の]っていた[展覧会|てんらんかい]の[記事|きじ]を[切|き]り[抜|ぬ]きました。	Recorté el artículo sobre la exposición que aparecía en el periódico de la mañana.	朝刊 es la edición matutina de un periódico.
スポンサー	N3	ocio	[大会|たいかい]のスポンサーが[決|き]まり、[参加費|さんかひ]を[安|やす]くできました。	Al conseguir patrocinador para el torneo, pudimos reducir la cuota de participación.	スポンサー es quien patrocina una actividad.
海洋	N2	educacion	[海洋|かいよう]の[研究|けんきゅう]には、[長期間|ちょうきかん]の[観測|かんそく]データが[欠|か]かせません。	Para investigar los océanos son imprescindibles los datos de observación recogidos durante periodos largos.	海洋 se usa para los océanos en contextos científicos o formales.
飛び込む	N3	ocio	[泳|およ]いでいる[人|ひと]がいるので、プールに[飛|と]び[込|こ]まないでください。	No te lances a la piscina, que hay gente nadando.	飛び込む significa entrar de un salto o lanzarse al agua.
普遍	N2	cultura	この[作品|さくひん]は、[家族|かぞく]との[別|わか]れという[普遍|ふへん][的|てき]なテーマを[扱|あつか]っています。	Esta obra trata un tema universal: la separación de la familia.	普遍的 describe algo común a personas de distintos lugares o épocas.
ならでは	N2	comida	[焼|や]きたてのパンならではの[香|かお]りに、[思|おも]わず[足|あし]を[止|と]めました。	El aroma tan propio del pan recién hecho me hizo detenerme sin pensarlo.	ならではの destaca una cualidad característica y especial.
禁じる	N2	cultura	[作品|さくひん]を[守|まも]るため、[館内|かんない]ではフラッシュの[使用|しよう]を[禁|きん]じています。	Para proteger las obras, se prohíbe usar flash dentro del museo.	禁じる es prohibir, con un registro formal.
各社	N3	compras	[同|おな]じ[条件|じょうけん]で[各社|かくしゃ]の[料金|りょうきん]を[比|くら]べると、[差|さ]がよくわかります。	Al comparar las tarifas de las distintas empresas bajo las mismas condiciones, se aprecian bien las diferencias.	各社 se refiere a cada una de las empresas consideradas.
