target	level	topic	ruby	spanish	note
問い合わせ	N3	servicios	[営業時間|えいぎょうじかん]についての[問|と]い[合|あ]わせが、[朝|あさ]から[続|つづ]いています。	Desde esta mañana no paran de llegar consultas sobre el horario de apertura.	問い合わせ es una consulta para obtener información.
見積もり	N3	servicios	[修理|しゅうり]を[頼|たの]む[前|まえ]に、[見積|みつ]もりを[二社|にしゃ]から[取|と]りました。	Antes de encargar la reparación, pedí presupuesto a dos empresas.	見積もり es una estimación previa del coste.
納期	N3	trabajo	[部品|ぶひん]が[届|とど]かず、[納期|のうき]を[一週間|いっしゅうかん][延|の]ばしてもらいました。	Como no llegaban las piezas, conseguí que ampliaran una semana el plazo de entrega.	納期 es el plazo para entregar un producto.
在庫	N3	compras	[売|う]り[場|ば]にない[色|いろ]の[在庫|ざいこ]を、[店員|てんいん]が[確認|かくにん]してくれました。	El dependiente comprobó si quedaban existencias del color que no estaba expuesto.	在庫 son existencias disponibles.
発注	N3	trabajo	[必要|ひつよう]な[数|かず]を[確認|かくにん]してから、[部品|ぶひん]を[発注|はっちゅう]しました。	Encargué las piezas después de comprobar la cantidad necesaria.	発注する es realizar un pedido a un proveedor.
仕入れ	N3	trabajo	[仕入|しい]れの[値段|ねだん]が[上|あ]がり、[店|みせ]の[利益|りえき]が[減|へ]りました。	Subió el precio de compra a los proveedores y bajó el beneficio de la tienda.	仕入れ es adquirir mercancía para venderla.
請求書	N3	trabajo	[請求書|せいきゅうしょ]の[住所|じゅうしょ]が[古|ふる]かったので、[修正|しゅうせい]をお[願|ねが]いしました。	La factura llevaba mi dirección antigua y pedí que la corrigieran.	請求書 es una factura o solicitud de pago.
振込	N3	servicios	[振込|ふりこみ]が[完了|かんりょう]したことを、メールで[知|し]らせました。	Avisé por correo de que la transferencia se había realizado.	振込 es una transferencia bancaria.
残高	N3	servicios	[買|か]い[物|もの]の[前|まえ]に、カードの[残高|ざんだか]を[確認|かくにん]しました。	Comprobé el saldo de la tarjeta antes de comprar.	残高 es la cantidad que queda disponible.
引き落とし	N3	servicios	[今月|こんげつ]の[引|ひ]き[落|お]とし[日|び]を、カレンダーに[書|か]きました。	Anoté en el calendario la fecha del cargo automático de este mes.	引き落とし es un cargo automático en una cuenta.
領収	N3	trabajo	[支払|しはら]いの[後|あと]、[領収|りょうしゅう]の[印|しるし]を[書類|しょるい]に[押|お]してもらいました。	Después de pagar, pedí que pusieran en el documento la marca de pago recibido.	領収 significa recepción de un pago.
控え	N3	servicios	[提出|ていしゅつ]した[書類|しょるい]の[控|ひか]えを、[封筒|ふうとう]に[入|い]れて[保管|ほかん]しています。	Guardo en un sobre una copia de los documentos que presenté.	控え significa aquí copia para conservar.
記入	N3	servicios	[申込書|もうしこみしょ]には、[黒|くろ]いペンで[記入|きにゅう]してください。	Rellena la solicitud con bolígrafo negro, por favor.	記入する es escribir los datos en un formulario.
欄	N3	servicios	[電話番号|でんわばんごう]の[欄|らん]を[空白|くうはく]のまま[出|だ]してしまいました。	Entregué el formulario dejando en blanco la casilla del número de teléfono.	欄 es un espacio o campo de un formulario.
訂正	N3	trabajo	[会議|かいぎ]の[日付|ひづけ]を[訂正|ていせい]した[案内|あんない]が[届|とど]きました。	Llegó un aviso que corregía la fecha de la reunión.	訂正 es corregir un dato erróneo.
