target	level	topic	ruby	spanish	note
根拠	N3	educacion	その[数字|すうじ]を[信|しん]じてよい[根拠|こんきょ]が、[記事|きじ]には[書|か]かれていません。	El artículo no indica en qué podemos basarnos para confiar en esa cifra.	根拠 es el fundamento que respalda una afirmación.
相場	N3	compras	[中古|ちゅうこ]のカメラを[売|う]るために、[同|おな]じ[型|かた]の[相場|そうば]を[調|しら]べています。	Estoy consultando el precio habitual del mismo modelo para vender mi cámara de segunda mano.	相場 es el precio habitual de mercado, no el precio de una unidad concreta.
狙う	N3	ocio	[選手|せんしゅ]はゴールの[右上|みぎうえ]を[狙|ねら]ってボールを[蹴|け]りました。	El jugador chutó apuntando a la esquina superior derecha de la portería.	狙う indica apuntar hacia un objetivo.
大学院	N3	educacion	[姉|あね]は[働|はたら]きながら[大学院|だいがくいん]で[教育|きょういく]について[研究|けんきゅう]しています。	Mi hermana mayor trabaja y al mismo tiempo investiga sobre educación en un programa de posgrado.	大学院 designa los estudios universitarios de posgrado.
拒否	N3	tecnologia	[写真|しゃしん]へのアクセスを[拒否|きょひ]しても、このアプリで[文章|ぶんしょう]は[読|よ]めます。	Aunque deniegues el acceso a las fotos, puedes leer los textos en esta aplicación.	拒否 se usa aquí para denegar un permiso.
微妙	N3	comida	この[二種類|にしゅるい]のお[茶|ちゃ]には、[香|かお]りに[微妙|びみょう]な[違|ちが]いがあります。	Estos dos tipos de té tienen una diferencia sutil de aroma.	微妙な違い significa una diferencia sutil, no necesariamente negativa.
見方	N3	cultura	[作家|さっか]の[手紙|てがみ]を[読|よ]んでから、この[小説|しょうせつ]の[見方|みかた]が[変|か]わりました。	Mi forma de ver esta novela cambió después de leer las cartas de su autor.	見方 es la perspectiva desde la que se interpreta algo.
強調	N3	educacion	[発表|はっぴょう]で[強調|きょうちょう]したい[部分|ぶぶん]だけ、[少|すこ]しゆっくり[話|はな]しました。	Hablé un poco más despacio sólo en las partes que quería destacar de la presentación.	強調する es dar énfasis.
要するに	N3	trabajo	[要|よう]するに、[予約|よやく]が[確定|かくてい]するまで[料金|りょうきん]は[払|はら]わなくてよいのですね。	En resumen, no hace falta pagar hasta que se confirme la reserva, ¿verdad?	要するに introduce una reformulación resumida.
真剣	N3	vida_diaria	[弟|おとうと]が[真剣|しんけん]に[相談|そうだん]していたので、テレビを[消|け]して[聞|き]きました。	Como mi hermano pequeño me estaba pidiendo consejo en serio, apagué la televisión para escucharlo.	真剣に expresa una actitud seria y concentrada.
実質	N3	compras	[送料|そうりょう]が[無料|むりょう]になったので、[実質|じっしつ][五百円|ごひゃくえん]の[値引|ねび]きでした。	Como el envío pasó a ser gratuito, en la práctica supuso un descuento de quinientos yenes.	実質 indica el efecto real de una condición.
収集	N3	cultura	[博物館|はくぶつかん]では、[昔|むかし]の[町|まち]の[様子|ようす]がわかる[写真|しゃしん]を[収集|しゅうしゅう]しています。	El museo está recopilando fotografías que muestran cómo era la ciudad antiguamente.	収集する es recopilar objetos o información.
工夫	N3	vida_diaria	[子供|こども]が[野菜|やさい]を[食|た]べやすいように、[切|き]り[方|かた]や[味付|あじつ]けを[工夫|くふう]しています。	Busco maneras de cortar y sazonar las verduras para que a los niños les resulte más fácil comerlas.	工夫する implica buscar soluciones prácticas con ingenio.
幅	N4	compras	この[棚|たな]は[幅|はば]が[広|ひろ]すぎて、[机|つくえ]の[横|よこ]に[置|お]けません。	Esta estantería es demasiado ancha para ponerla junto al escritorio.	幅 es la anchura.
